PLACE_NM,GUGUN_NM,TRRSRT_LA,TRRSRT_LO,TRRSRT_ROAD_NM_ADDR,TEL_NO,GRP_NM,SEASON_NM,IEM_NM,CL_NM,ETC_CN
태종대,영도구,35.05264,129.08781,부산광역시 영도구 전망로 24,0514058745,혼자,"봄,여름,가을","자연,공원,걷기","바다,산",초록으로 우거진 싱그러운 숲길을 거닐며 푸른 바다를 한눈에 바라볼 수 있는 곳. 오랜 세월 파도에 깎여 각양각색의 신비를 가지게 된 바위해안이 그 수려함을 자랑하는 곳. 부산 영도 남쪽 끝에 자리하고 있는 태종대의 이야기다. 태종대는 신라의 태종무열왕이 이곳의 경치에 반해 활쏘기를 즐기며 쉬어갔다 하여 유래된 이름이라 한다. 짙푸른 바다에 둘러싸인 기암괴석과 우거진 녹음이 반가운 인사를 건네는 태종대는 빠지지 않는 전국 여행코스 중 하나다.
다대포해수욕장,사하구,35.04652,128.96283,부산광역시 사하구 몰운대1길 14,0512204127,"가족,부모,아이,커플,친구,혼자","봄,가을",자연,바다,"낙동강과 남해안이 만나 양질의 모래밭을 만든 곳, 일출과 일몰 조망지로 부산 최고인 곳, 다대포해수욕장은 자연이 주는 황홀경을 맘껏 즐길 수 있는 기분 좋은 장소이다."
광안리해수욕장,수영구,35.15318,129.11887,부산광역시 수영구 광안해변로 219,0516224251,"아이,커플,친구,혼자",사계절,"자연,문화,체험",바다,"광안대교라는 랜드마크와 함께 부산을 대표하는 해수욕장 중 하나로 꼽히는 광안리 해수욕장. 도심과 가장 가까운 해변이자 부산 젊은이들의 성지라 할 수 있다. 전국에서 모여드는 이들의 입맛을 모두 충족시킬 수 있는 다양한 맛집의 향연, 바다가 보이는 카페, 골목 곳곳에 위치한 이색 공간, 봄이면 온 거리를 분홍빛으로 물들이는 남천동 벚꽃거리까지. 새하얀 백사장과 푸르른 바다 말고도, 광안리가 간직한 매력은 무궁무진하다."
송정해수욕장,해운대구,35.17862,129.19943,부산광역시 해운대구 송정해변로 62,0517497612,"친구,혼자",가을,자연,바다,"해운대를 지나 달맞이길 따라 돌아 내려오면 넓고 길게 펼쳐진 백사장이 보인다. 그곳이 바로 서퍼들이 사랑하는 바다, 송정해수욕장이다. 해운대, 광안리와 더불어 부산 동부의 3대 해수욕장으로 손꼽히는 송정해수욕장은 수심이 낮고 경사가 완만하여 가족단위 피서지로 인기가 높다. 최근 들어서는 사계절 내내 서퍼들이 몰려드는 서핑의 성지로 각광받고 있다. 동해와 남해가 맞닿아 있는 위치 덕분에 북풍과 남풍의 영향을 동시에 받는데, 이는 사시사철 높은 파도가 끊임없이 들어오는 좋은 조건을 만들어준다. 낮은 수심 덕분에 서핑 입문자들에게는 더 없이 좋은 장소이다. 해수욕장을 둘러싸고 다양한 서핑 숍이 성업 중이다. 서핑 숍에서는 초급부터 고급까지 단계적으로 배울 수 있다."
오륙도,남구,35.10217,129.12334,부산광역시 남구 오륙도로 137,0516076395,"커플,친구,혼자","봄,여름,가을","자연,공원",바다,"동해와 남해가 만나는 에메랄드 빛 바다. 눈부시게 푸른 양탄자 위 5개의 섬, 때로는 6개의 섬. 오륙도 앞바다는 방문객들의 마음을 설레게 하기에 부족함이 없다. 부산에 속한 다양한 섬들 가운데서도 아름답기로 손꼽히는 오륙도는 남구 용호동에 속한 바위섬이다. 8천만 년 전, 화산활동으로 만들어진 암석이라는 지질학적 가치를 인정받아 부산국가지질공원으로 지정되었다. 더불어 보호대상 해양생물이 살고 있는 해양보호구역이자 국가지정문화재이기도 하다."
암남공원,서구,35.05881,129.01566,부산 서구 암남공원로 185,0512404538,"커플,친구,혼자",사계절,"자연,걷기","바다,도시","소나무 숲 사이로 보이는 남해 바다. 그 위로 비치는 햇빛. 반짝이는 물결 사이로 떠 있는 배들의 모습. 여행자의 마음에 여유를 선물하는 아름다운 곳, 암남반도 남쪽 끝자락에 위치한 암남공원이 그곳이다."
청사포,해운대구,35.16021,129.19138,부산광역시  해운대구 청사포로128번길 25,0517494000,"가족,부모,아이,커플,친구,혼자",사계절,자연,바다,"분명히 부산 시내에 있지만 멀리 떨어진 어촌마을로 온 듯한 기분을 선사해주는 청사포 그 소박한 풍경 속으로 떠난다. 청사포의 ‘청사’는 ‘푸른 모래’ 라는 뜻이다. 이름만 들어도 왠지 설레고 청량한 느낌이 드는 예쁜 이름의 청사포. 도시철도 장산역에서 언덕을 넘어 골목길을 따라 내려오면 청사포 입구 교차로가 보이고, 그 너머로 작은 어촌 마을 청사포가 모습을 드러낸다. 언덕을 넘는 순간 내려다보이는 청사포의 아름다운 모습에 눈을 뗄 수 없다."
황령산 전망쉼터,남구,35.18115,129.08269,부산 남구 황령산로 391-39,07075427080,"커플,친구,혼자",사계절,자연,산,"부산의 4개 구에 걸쳐 자리한 황령산, 도심을 감싸며 시원하게 뻗어 내린 산맥이 초록의 울창한 숲을 선물처럼 내어준다. 숲길 걷기 좋아하는 등산객들에겐 숲과 바람과 하늘을 내어주고, 야경을 즐기는 관광객들에겐 황홀한 빛의 세계를 선사해 주는 곳, 황령산 전망쉼터를 소개한다. 황령산 전망대의 일몰은 충분히 기다릴 가치가 있다. 주변이 어둑어둑해지면 하늘이 붉게 물들고 도시는 황금빛으로 물들기 시작한다. 낭만이 가득한 사랑스러운 도시 부산을 만날 수 있는 시간.  흔들의자에 앉아 눈부신 황혼을 바라만 보아도 그 순간은 힐링이다. 매직아워가 사라지면 도시는 일제히 불을 밝힌다. 저마다 뽐내는 화려한 조명에 눈이 행복해지는 순간이다. 까만 밤바다와 어우러진 형형색색의 조명이 부산의 밤을 더욱 아름답게 수놓는다. 부산의 바다와 도시가 어우러져 놀라운 파노라마를 선물하는 곳. 황령산 전망쉼터는 여행자에게 낮과 밤의 각기 다른 설렘을 담아보라 말한다."
가덕도 연대봉,강서구,35.02687,128.83395,부산광역시 강서구 천성동,0519704062,"아이,커플,친구,혼자",사계절,"자연,걷기","바다,산","예로부터 더덕이 많이 나서 붙여졌다는 이름 가덕도는 부산에 속한 섬 중 가장 큰 섬이지만 서쪽 제일 끝에 위치해 있어 일부 사람들에게는 낯선 곳이기도 했다. 하지만 가덕도는 신석기 시대부터 사람이 살았던 것으로 추정되고, 역사적으로 임진왜란과 일제강점기까지 일본과 기나긴 악연을 가진 섬이기도 하다. 연대봉은 섬의 가장 높은 곳에서 사연 많은 가덕도의 역사를 오늘날까지 꿋꿋이 품어주고 있다."
백양산,부산진구,35.18282,129.02196,부산광역시 부산진구 당감동,0516054000,"아이,커플,친구,혼자","봄,여름,가을","자연,걷기",산,"부산의 사상구, 북구, 부산진구를 아우르는 백양산은 부산의 많은 산들 중 유독 등산객들이 사랑하는 곳이다. 어디를 가도 코스가 잘 정비돼 있어 등산뿐만 아니라 산악자전거나 산악오토바이를 즐기는 이들에게도 인기다. 크게는 어린이대공원 입구를 시작으로 성지곡수원지를 지나 정상으로 올라가는 코스와 선암사에서 출발해 정상으로 가는 코스가 대표적이다."
성지곡수원지,부산진구,35.18706,129.04015,부산 부산진구 새싹로 295,0518607848,"친구,혼자","봄,여름,가을","자연,공원,걷기",산,"울창한 나무숲, 고즈넉한 호수, 그리고 피톤치드 가득한 산책로까지. 부산 어린이대공원 안에 위치한 성지곡수원지는 부산 시민이라면 누구나 추억 한 자락 간직하지 않은 이가 없을 정도로 예전부터 시민들의 사랑을 받아왔다. 고요한 수원지 주변은 누구에게나 마음의 평온을 주는 종합선물세트 같은 장소다."
승학산 억새평원,사하구,35.11664,128.97968,부산광역시 사하구 당리동 산 45-1,0512204536,"부모,아이,커플,친구,혼자",사계절,"자연,걷기",산,가을이 되면 하얀 억새군락이 멋진 장관을 연출하는 승학산은 가을 트레킹의 필수 코스 중 하나다. 능선을 따라 드넓게 펼쳐진 승학산의 초원에는 햇빛을 받아 황금빛으로 하늘거리는 억새풀이 가득하다. 가을의 정취를 한층 더해주는 승학산의 억새를 찾아 즐거운 마음으로 트레킹에 나선다.
아홉산 숲,기장군,35.27833,129.17046,부산광역시 기장군 철마면 미동길 37-1,0517219183,"아이,커플,친구,혼자","봄,여름,가을","자연,걷기",산,"일제강점기, 해방과 전쟁을 지나 산업화를 거치면서도 개방되지 않았던 자연 본연의 모습을 간직한 숲.400년 간 세상에 공개되지 않았던 이곳, 부산 기장군에 위치한 아홉산숲이 그 주인공이다. 아홉산숲의 아홉산은 아홉 골짜기를 품고 있다는 뜻의 순 우리말이 남아있는 이름이다."
일광해수욕장,기장군,35.26002,129.23361,부산광역시 기장군 일광면 삼성3길 17,0517094000,"부모,아이,커플,친구,혼자","봄,여름,가을",자연,바다,"부산시민이 사랑하는 바다, 일광해수욕장. 역사적으로 기장 8경 중 하나로 꼽힐 만큼 아름다운 일광해수욕장은 과거에 해안선을 따라 노송 숲이 있었다고 전해지는데 고려시대부터 정몽주를 비롯한 인사들이 유람했던 절경 중 하나였다고 한다. 일광해수욕장이 위치하고 있는 일광면 삼성리의 이름은 삼성대(三聖臺)에서 유래되었다. 삼성대는 ‘샘섟대’라는 옛말에서 비롯되었다고 전해지는데, 샘은 약수샘, 섟은 배를 매어두는 곳을 말한다고 한다. 현재는 백사장의 가운데 둔덕을 가리켜 삼성대라고 부른다."
임랑해수욕장,기장군,35.31905,129.26451,부산광역시 기장군 장안읍 갑골길,0517094000,"아이,커플,친구,혼자","봄,여름,가을",자연,바다,"여름하면 바다, 바다하면 부산이지만 아직까지 타지인들에게는 많이 알려지지 않은 해수욕장이 있다. 부산 시민이 사랑하는, 기장군의 양대 해수욕장 중 하나인 임랑해수욕장이 그 주인공이다. 입에 머무르는 느낌마저 따뜻한 ‘임랑’이라는 이름은 아름다운 송림(松林)과 달빛에 반짝이는 은빛 파랑(波浪)의 두 글자에서 유래되었다. 임랑해수욕장의 백사장은 1km 이상 이어지며 바다를 감싸고 있는데 그 색이 매우 밝은 게 특징이다.  이곳을 처음 방문하는 이들이라면 첫눈에 하얀 백사장에 반하고 말 것이다."
봉래산,영도구,35.08219,129.05524,부산광역시 영도구 신선동3가 산3,0514194041,"가족,커플,친구,혼자",사게절,"자연,걷기",산,"봉황이 내려온다는 산 이름이 너무 거창하다고? 봉래산에 올라 마침내 그 풍광을 가지는 순간 이름에 대한 의구심은 사라진다. 울퉁불퉁 바위 사이 가파른 경사를 오르기도 하고, 스멀스멀 물안개를 헤치며 둘레길을 걷기도 한다. 조내기 고구마가 영도의 특산물임을 알려주는 역사공원에도 한번 들러본다. 산허리에 걸린 구름을 지나쳐 투덜투덜 정상에 오르면 과연 여기에 봉황이 노닐었겠구나 싶은 전경이 펼쳐진다. 쉴 새 없이 삐죽거리던 입이 쏙 들어간다. 어느 방향이든 드넓은 바다 조망과 도심 전경을 동시에 선사하는 봉래산 정상에 참 잘 왔다."
회동수원지,금정구,35.25905,129.11096,부산광역시 금정구 수원지로,0515194081,"커플,친구,혼자","봄,여름,가을","자연,걷기",산,"회동수원지는 면적이 큰 만큼 강과 호수, 숲이 어우러진 명품 산책로를 간직하고 있다. 사람들의 발길이 오랜 시간 머물지 않아 자연 그대로를 담고 있는 곳으로 땅뫼산 황토숲길, 편백나무숲, 갈맷길 등 도심 속 숲길 산책을 즐기고 싶은 시민들의 힐링 명소로 사랑 받고 있다."
부산시민공원,부산진구,35.16841,129.05739,부산광역시 부산진구 시민공원로 73,0518506000,"가족,부모,아이,커플,친구,혼자",사계절,공원,도시,"군부대와 공원. 정반대에 놓여있는 느낌의 두 단어다. 하지만 군부대가 공원으로 다시 태어난 곳이 있으니, 바로 부산시민공원이다. 광복 후 미군 하야리아 부대로 이 땅이 불린지 70여 년 만에 부산시민의 따뜻한 쉼터로 돌아온 부산시민공원을 둘러본다."
용두산공원,중구,35.10072,129.03264,부산광역시 중구 용두산길 37-55,0518607820,"부모,아이,커플,친구,혼자",사계절,"문화,공원",도시,"용두산공원이 거기 있기 때문에 부산으로 간다? 맞다. 요즘은 용두산공원이 부산여행의 이유가 되었다. 부산 동부권역에 명소 해운대가 있다면 중부권에는 역시 남포동이 최고의 핫플레이스, 그 중 용두산공원은 부산을 찾는 이들이 빼놓지 않고 찾는 부산 대표 랜드마크다."
민락수변공원,수영구,35.15591,129.13435,부산 수영구 광안해변로 361,0517517979,"아이,커플,친구,혼자","봄,여름,가을","자연,공원",바다,"바다에서 불어오는 바람을 가장 먼저 맞는 곳. 마린시티와 광안대교의 야경을 가장 가까운 곳에서 만나는 곳. 여름이면 남녀노소가 모이는 휴식처, 민락수변공원이다. 1997년 개장한 민락수변공원은 마린시티와 광안대교가 생기기 이전부터 부산시민들의 휴식처로 사랑받아왔다. 푸른 하늘과 끝없는 바다가 한눈에 펼쳐지는 풍경은 주변의 환경이 여러 번 바뀌는 동안에도 그 자리를 굳건히 지켜왔다."
APEC나루공원,해운대구,35.17031,129.12564,부산광역시 해운대구 수영강변대로 93,0517494000,"커플,친구,혼자","봄,여름,가을","자연,공원",기타,"변화 없는 일상이 지루할 때, 혹은 변화무쌍한 매일이 지칠 때. 책 한권 달랑 들고 조용한 APEC나루공원으로 간다. 수영강변 따라 뻗어 있는 도심 속 작은 공원이지만 책을 읽을 수 있는 테이블도 있고, 산책로, 조깅코스, 조각공원까지 갖춘 내실탄탄한 공원이다. 나무그늘 아래 한 자리, 강바람 느끼며 책장을 넘길 수 있는 여유를 맘껏 즐긴다. 독서가 체질이 아닌가? 그럼 살랑살랑 산책은 어떨까. 따릉따릉 자전거 타고 공원을 누비는 것도 이곳에서 찾을 수 있는 평화로운 광경이다. 부산 도심 속 소확행은 APEC나루공원에서 이루어진다."
어린이대공원,부산진구,35.18499,129.04153,부산광역시 부산진구 새싹로 295,0518607848,"아이,커플,친구,혼자",사계절,"자연,공원","산,도시","아이와 함께라면? 일단 어린이대공원으로 가자. 부산 어린이대공원이 아름다운 순환산책로의 탄생과 함께 가족 방문객들의 최애 장소로 변모했다. 어린이회관에 이르는 길은 오르막이긴 하지만 어린이 놀이터를 비롯해 볼거리, 놀거리가 많아 동심은 끊임없이 즐겁다. 우거진 숲속엔 꼬마 아이들도 쉽게 걸을 수 있는 산책로가 있고, 나무 사이사이 피크닉을 즐길 수 있는 야외테이블도 자리한다. 계곡 따라 흐르는 시원한 물소리 들으며 가족과 함께 자연이 전해주는 치유의 시간을 즐겨보자."
송상현광장,부산진구,35.16639,129.06595,부산광역시 부산진구 중앙대로 818,0518506081,"부모,아이,커플,친구,혼자",사계절,"문화,공원",도시,"도심 한가운데 아름다운 숲과 실개천을 간직한 송상현광장, 산들바람 부는 날에 메타세쿼이아 나무 아래에서 나만의 여유를 즐기기에 안성맞춤인 곳이다. 카페와 야외공연장 등 편의시설도 갖추고 있어서 다양한 이벤트와 공연을 관람할 수 있는 곳, 송상현광장은 시민을 위한 부산 최대 규모의 도심광장이다."
금강공원&식물원,동래구,35.22047,129.07494,부산 동래구 우장춘로 155,0518607880,"커플,친구,혼자","봄,여름,가을","자연,공원,걷기",산,"부산시민공원이 생기기 전, 부산에서 가장 유명한 공원은 바로 이곳이었다. 모든 부산 사람의 기억에 자리 잡고 있는 금강공원과 금강식물원이다. 일본 상인이 금정산자락의 일부를 자신의 개인 정원으로 꾸며 만든 이곳이 광복 후 공원으로 지정되면서 ‘금강공원’이라는 이름을 갖게 됐다. ‘금강’이라는 이름은 금정산의 수려함이 금강산에 버금간다 하여 ‘소금강’이라고 불렸는데, 여기서 따온 이름이다."
구포어린이교통공원,북구,35.20086,129.00081,부산광역시 북구 낙동북로 687,0513094805,"가족,아이","봄,여름,가을","공원,체험",도시,"교통안전교육도 받고 신나게 뛰어놀 수도 있는 곳, 어린이들의 천국, 구포어린이교통공원을 소개한다. 어린이들의 교통안전 조기교육을 목적으로 현장중심의 체계적인 교육프로그램을 운영하는 곳이다. 실내 교통안전교육과 연계하여 실외 교통안전관련 체험프로그램이 인기다. 단체관람 외 개별이용자는 토요일에 예약 없이 자유 관람이 가능하다. ** 코로나19의 여파로 구포어린이교통공원은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요."
대신공원,서구,35.12181,129.01564,부산광역시 서구 대신공원로 37-18,0518607830,"부모,아이,커플,친구,혼자",사계절,"공원,걷기",산,"수령 높은 노목들이 오색찬란하게 빛을 발하는 도심 속 휴식 공간 대신공원은 대한민국 아름다운 숲 대회에서 누리상을 수상한 숲이기도 하다. 그만큼 울창한 숲과 맑은 계곡을 지닌 자연 그대로의 힐링 쉼터이다. 계곡물에 발 담그고 찰방찰방하는 사람들 구경하며 산책을 이어간다. 입구에서 멀지 않은 곳에 자리한 빽빽한 편백림은 건강한 기운을 마구마구 뿜어낸다. 기분이 꽤 상쾌하다. 구덕저수지를 따라 드리워진 나무 아래 정겨운 벤치가 어서 앉아보라 손짓 하고, 저수지에 반영된 또 하나의 풍경은 한 폭의 그림이 된다."
삼정더파크,부산진구,35.18394,129.04298,부산광역시 부산진구 새싹로 295-1,0518118800,"가족,부모,아이,커플,친구,혼자",사계절,공원,도시,"동물을 좋아하는 친구들 모두 모여라! 걸어 다니며 사파리체험을 할 수 있는 삼정더파크로 간다. 도심 속 사파리 삼정더파크, 다양한 종류의 동물을 보다 가까이에서 만날 수 있는 곳이다. 보기만 하는 동물은 이제 그만. 동물 먹이체험은 물론 다채로운 공연과 퍼레이드는 동물과 관람객이 어우러져 하나가 되는 특별한 경험을 선사한다. 동물원 곳곳 종류도 다양한 신나는 놀이터도 그냥 지나치면 서운하다. 아이들 손잡고 신비로운 동물의 세계로 모험을 떠나보자."
수영사적공원,수영구,35.17096,129.11431,부산광역시 수영구 수영성로 43,0516104372,"커플,친구,혼자","봄,여름,가을","역사,공원",도시,조선시대 남해안 수군지휘부 경상좌도수군절도사영이 있던 자리가 현재의 수영사적공원이다. 수군절도사영의 줄임말 ‘수영’이 현재의 지명으로 그대로 굳어졌다고 한다. 역사적 상징성을 가진 유적공원이지만 시민들의 가벼운 산책공간으로 더 친근하다. 나무가 우거진 시원한 오솔길은 도심 속 힐링 장소로 손색이 없다. 놀이마당에서는 수영야류 등 무형문화재 공연이 정기적으로 열린다.
화명수목원,북구,35.25257,129.04205,부산광역시 북구 산성로 299,0513620261,"부모,아이,커플,친구,혼자",사계절,"공원,걷기",산,"부산의 명산 금정산 자락에 사뿐히 내려앉은 화명수목원. 계곡을 채워 흐르는 시원한 물줄기와 산내음 가득한 바람이 기분 좋은 하루를 만들어 주는 곳. 수목원 곳곳이 산책로이자 쉼터인 덕에 숲속을 여유롭게 즐기기만 하면 된다. 연못 위로 가로놓인 구름다리마저 자연이 되고, 침엽수와 활엽수는 물론 야생화와 아열대 식물까지 거대한 식물도감이 되어 눈앞에 펼쳐진다."
대룡마을,기장군,35.37117,129.26433,부산광역시 기장군 장안읍 대룡1길 17,0517278758,"가족,부모,아이,커플,친구,혼자",사계절,문화,도시,"바쁜 일상을 떠나 조용히 산책을 하고 싶은 날. 한적한 교외에 있는 대룡마을은 북적이는 도심에서 한 발 떨어져 여유와 낭만을 즐기기 딱 좋은 곳이다. 많은 문화 예술인들이 모여 예술을 꽃피우는 이곳에서는 톡톡 튀는 예술적 감각이 돋보이는 색다른 풍경을 만날 수 있다. 부산 기장에 자리 잡고 있는 대룡마을은 오랜 역사를 자랑한다. 마을 앞 개울에 큰 용이 살았다는 전설이 있어 이름 붙여진 대룡마을. 주민들이 벼농사, 채소재배 등으로 생업을 유지하다보니 발길 닿는 곳마다 잔잔한 목가적 풍경이 흐른다. 이 소박한 농촌마을에 대룡리 예술촌이 형성되면서 20~30대 젊은 예술가들이 모여 작품 활동을 하는 문화예술마을로 다시 탄생하였다."
한성1918 부산생활문화센터,중구,35.10178,129.03444,부산광역시 중구 백산길 13,0512578038,"가족,아이,커플,친구,혼자",사계절,"역사,문화",도시,중앙동 원도심 골목길을 걷다가 만나게 되는 한성1918은 한성은행 부산지점으로 1918년에 설립되어 40여 년간 은행업무를 보던 곳이었다. 근대 부산의 부흥기를 함께한 대표적인 금융권 건물이다. 구조보강 과정을 거쳐 2018년 4월 한성1918-부산생활문화센터로 새롭게 탄생하였다. 한성1918은 누구나 참여 가능한 생활문화 활동을 지원하는 복합공간으로서의 역할을 하고 있으며 길을 걷다 우연히 들러 책 한 권 읽는 여유를 즐길 수 있는 장소이기도 하다.
우장춘기념관,동래구,35.21354,129.07202,부산광역시 동래구 우장춘로62번길 7,0515506633,"부모,아이,커플,친구,혼자",사계절,"역사,문화",도시,"일본에서 나고 자란 농학자 우장춘 박사는 해방 후 한국정부의 초청으로 귀국한 뒤 일본에 의존할 수밖에 없었던 채소종자를 품종개량을 통해 국내 완전자급이 가능하도록 전력을 기울인 분이다. 아버지의 지난 과오에 속죄하는 마음으로 우리나라 땅에 맞는 작물을 연구, 개발하는데 헌신하였고 그 덕에 후손들은 맛있는 토종 작물을 먹을 수 있게 되었다. 오늘은 기념관에 들러 우장춘 박사께 존경의 마음을 전해보는 건 어떨까."
요산문학관,금정구,35.27258,129.08571,부산광역시 금정구 팔송로 60-6,0515151655,"가족,부모,아이,커플,친구,혼자",사계절,문화,도시,"요산문학관은 부산의 변방, 소외된 사람들의 삶을 소설로 고발한 요산 김정한 선생의 문학을 기리는 공간이자 지역민들을 위한 열린 문화 공간이다. 일제강점기와 한국전쟁을 지나며 권력에 빌붙어 불의를 일삼는 사람들을 향해 그의 소설 속 주인공은 ‘사람답게 살아가라’고 일침을 놓는다. 요산문학관에서 만나는 김정한 선생은 너그러운 웃음 가진 옆집 할아버지의 모습이지만, 민중을 선동하는 요주의 작가로 지목될 만큼 평생을 민족의식 고취에 남다른 의욕을 보였다. 전시관에는 선생의 육필원고와 직접 만든 한글카드, 소장도서 등이 전시되어 있다. ** 코로나19의 여파로 요산문학관은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요."
국립수산과학관,기장군,35.19368,129.22423,부산광역시 기장군 기장읍 기장해안로 216,0517203061,"가족,부모,아이,혼자",사계절,문화,바다,전시관 입구에서부터 참고래 실물 뼈가 관람객을 놀라게 하는 국립수산과학관으로 가보자. 신비로운 푸른 바다 복도를 지나 신기하고 재미있는 바다 친구들이 어린이들을 기다린다. 선박을 조종하는 키를 잡은 손에서 미래 해양인의 꿈이 자란다. ** 코로나19의 여파로 국립수산과학관은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요.
사상생활사박물관,사상구,35.17211,128.97871,부산광역시 사상구 낙동대로1258번길 36,0513105136,"가족,아이,커플,친구,혼자",사계절,문화,도시,"사상생활사박물관은 근대 부산경제의 중심지였던 사상지역과 그 생활사를 소개하고 주민 간 소통을 이어가기 위해 건립되었다. 상설전시관은 낙동강과 함께 세월을 지나온 사상의 옛 모습과 근대화 과정, 그로인한 어두운 이면, 그리고 공단지대의 환경오염을 극복해 가는 과정 등을 상세히 전시하고 있다. 문화마당터와 담소방은 특강이나 문화행사 뿐만 아니라 딱지치기, 고무신 날리기 등 추억을 공유할 수 있는 놀이를 즐길 수 있는 공간이다. ** 코로나19의 여파로 사상생활사박물관은 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요."
부산해양자연사박물관,동래구,35.22178,129.07591,부산광역시 동래구 우장춘로 175,0515534944,"가족,아이,커플,친구,혼자",사계절,문화,도시,"바닷속 신비함을 만날 수 있는 부산해양자연사박물관은 살아있는 해양의 보고다. 국제적으로 희귀한 자연사 자료 25,000여 점을 수집 및 전시하고 있다. 호기심 가득한 어린이들을 위한 최고의 체험관."
부산솔로몬로파크,북구,35.20078,129.00198,부산광역시 북구 낙동북로 755,0513304000,"가족,아이,커플,친구",사계절,"공원,체험",도시,재미없고 지루한 법은 이제 안녕. 법을 쉽게 배우고 재미있게 체험할 수 있는 솔로몬로파크로 가자. 솔로몬로파크는 법교육 테마공원으로 법놀이터와 법체험관으로 나누어 각각 다양한 체험과 연수프로그램을 운영한다. 딱딱한 법이 아닌 친근한 이웃 같은 법을 체득하는 공간이다. 법과 정의의 배움터 솔로몬로파크에서 법과 함께 신나게 놀아보자. ** 코로나19의 여파로 솔로몬로파크는 이용제한이 있을 수 있으니 사전에 홈페이지 안내사항을 꼭 확인해 주세요.
부산기상관측소,중구,35.10497,129.03218,부산광역시 중구 복병산길32번길 5-11,0517180200,"부모,아이,커플,친구,혼자",사계절,"역사,문화",도시,"살랑살랑 바람 불어 기분 좋은 날에는 부산기상관측소로 향해보자. 부산기상관측소는 1934년 당시 중구 일대에서 가장 높았던 복병산 자락으로 옮겨왔다. 이 건물은 일제강점기 근대건축물의 특징을 그대로 간직한 것으로 큰 바다로 나아가는 선박의 모양을 본 따 지어진 것이라 한다. 세계기상기구(WMO)에서 선정한 ‘100년 관측소’이다. 용두산 공원과 부산타워, 멀리는 남항대교까지 조망할 수 있는 기상전망대도 놓치지 말자."
황령산 전망쉼터,남구,35.158115,129.08269,부산 남구 황령산로 391-39,07075427080,"커플,친구,혼자",사계절,자연,산,"부산의 4개 구에 걸쳐 자리한 황령산, 도심을 감싸며 시원하게 뻗어 내린 산맥이 초록의 울창한 숲을 선물처럼 내어준다. 숲길 걷기 좋아하는 등산객들에겐 숲과 바람과 하늘을 내어주고, 야경을 즐기는 관광객들에겐 황홀한 빛의 세계를 선사해 주는 곳, 황령산 전망쉼터를 소개한다."
